ID,BattingTeam,innings,bowling_team,bowler,overs,wickets,runs_conceeded,Balls_Bowled,Econ,Avg,Strike_Rate,noballs,wides,Season,City
335984,Rajasthan Royals,1,Delhi Daredevils,DL Vettori,4,1,35,24,8.75,35.0,24.0,0,0,2008,Delhi
335984,Rajasthan Royals,1,Delhi Daredevils,GD McGrath,4,1,21,25,5.25,21.0,25.0,0,1,2008,Delhi
335984,Rajasthan Royals,1,Delhi Daredevils,MF Maharoof,4,2,11,24,2.75,5.5,12.0,0,0,2008,Delhi
335984,Rajasthan Royals,1,Delhi Daredevils,R Bhatia,4,2,18,25,4.5,9.0,12.5,0,1,2008,Delhi
335985,Mumbai Indians,1,Royal Challengers Bangalore,B Akhil,3,2,19,18,6.33,9.5,9.0,0,0,2008,Mumbai
335985,Mumbai Indians,1,Royal Challengers Bangalore,JH Kallis,3,0,43,20,14.33,0.0,0.0,0,2,2008,Mumbai
335985,Mumbai Indians,1,Royal Challengers Bangalore,P Kumar,4,1,29,25,7.25,29.0,25.0,0,1,2008,Mumbai
335985,Mumbai Indians,1,Royal Challengers Bangalore,R Vinay Kumar,4,0,41,24,10.25,0.0,0.0,0,0,2008,Mumbai
335985,Mumbai Indians,1,Royal Challengers Bangalore,SB Joshi,2,0,10,12,5.0,0.0,0.0,0,0,2008,Mumbai
335985,Mumbai Indians,1,Royal Challengers Bangalore,Z Khan,4,2,17,24,4.25,8.5,12.0,0,0,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,A Nehra,4,1,45,26,11.25,45.0,26.0,0,2,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,AM Nayar,1,0,10,6,10.0,0.0,0.0,0,0,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,DS Kulkarni,3,1,19,18,6.33,19.0,18.0,0,2,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,Harbhajan Singh,4,2,36,25,9.0,18.0,12.5,0,1,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,SM Pollock,4,0,17,24,4.25,0.0,0.0,0,0,2008,Mumbai
335985,Royal Challengers Bangalore,2,Mumbai Indians,ST Jayasuriya,4,1,39,24,9.75,39.0,24.0,0,0,2008,Mumbai
335986,Deccan Chargers,1,Kolkata Knight Riders,AB Agarkar,2,2,19,12,9.5,9.5,6.0,0,0,2008,Kolkata
335986,Deccan Chargers,1,Kolkata Knight Riders,AB Dinda,3,1,18,19,6.0,18.0,19.0,1,0,2008,Kolkata
335986,Deccan Chargers,1,Kolkata Knight Riders,DJ Hussey,3,1,35,19,11.67,35.0,19.0,0,1,2008,Kolkata
335986,Deccan Chargers,1,Kolkata Knight Riders,I Sharma,3,1,9,21,3.0,9.0,21.0,0,3,2008,Kolkata
335986,Deccan Chargers,1,Kolkata Knight Riders,M Kartik,4,3,17,22,4.25,5.67,7.33,0,0,2008,Kolkata
335986,Deccan Chargers,1,Kolkata Knight Riders,Mohammad Hafeez,4,1,8,25,2.0,8.0,25.0,1,0,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,A Symonds,2,0,24,15,12.0,0.0,0.0,1,2,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,PP Ojha,4,2,18,26,4.5,9.0,13.0,0,2,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,RP Singh,3,1,15,18,5.0,15.0,18.0,0,0,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,SB Bangar,3,0,19,20,6.33,0.0,0.0,0,2,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,SB Styris,4,0,19,25,4.75,0.0,0.0,0,1,2008,Kolkata
335986,Kolkata Knight Riders,2,Deccan Chargers,WPUJC Vaas,3,2,9,18,3.0,4.5,9.0,0,0,2008,Kolkata
335987,Kings XI Punjab,1,Rajasthan Royals,D Salunkhe,2,1,21,13,10.5,21.0,13.0,0,2,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,MM Patel,4,1,36,24,9.0,36.0,24.0,0,0,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,Pankaj Singh,1,0,12,6,12.0,0.0,0.0,0,0,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,SK Trivedi,4,2,25,24,6.25,12.5,12.0,0,0,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,SK Warne,4,3,19,24,4.75,6.33,8.0,0,0,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,SR Watson,4,0,39,25,9.75,0.0,0.0,1,0,2008,Jaipur
335987,Kings XI Punjab,1,Rajasthan Royals,YK Pathan,1,0,13,6,13.0,0.0,0.0,0,0,2008,Jaipur
335987,Rajasthan Royals,2,Kings XI Punjab,B Lee,4,1,35,26,8.75,35.0,26.0,2,0,2008,Jaipur
335987,Rajasthan Royals,2,Kings XI Punjab,IK Pathan,4,1,21,26,5.25,21.0,26.0,0,2,2008,Jaipur
335987,Rajasthan Royals,2,Kings XI Punjab,JR Hopes,4,1,33,25,8.25,33.0,25.0,0,1,2008,Jaipur
335987,Rajasthan Royals,2,Kings XI Punjab,PP Chawla,2,0,27,12,13.5,0.0,0.0,0,0,2008,Jaipur
