ID,innings,BattingTeam,bowling_team,total_run_y
1254067,2,Kolkata Knight Riders,Royal Challengers Bangalore,166
1254066,1,Mumbai Indians,Sunrisers Hyderabad,150
1254066,2,Sunrisers Hyderabad,Mumbai Indians,137
1254065,1,Punjab Kings,Chennai Super Kings,106
1254065,2,Chennai Super Kings,Punjab Kings,107
1254064,1,Delhi Capitals,Rajasthan Royals,147
1254064,2,Rajasthan Royals,Delhi Capitals,150
1254063,1,Royal Challengers Bangalore,Sunrisers Hyderabad,149
1254063,2,Sunrisers Hyderabad,Royal Challengers Bangalore,143
1254062,1,Mumbai Indians,Kolkata Knight Riders,152
1254062,2,Kolkata Knight Riders,Mumbai Indians,142
1254061,1,Punjab Kings,Rajasthan Royals,221
1254061,2,Rajasthan Royals,Punjab Kings,217
1254060,1,Kolkata Knight Riders,Sunrisers Hyderabad,187
1254060,2,Sunrisers Hyderabad,Kolkata Knight Riders,177
1254059,1,Chennai Super Kings,Delhi Capitals,188
1254059,2,Delhi Capitals,Chennai Super Kings,190
1254058,1,Mumbai Indians,Royal Challengers Bangalore,159
1254058,2,Royal Challengers Bangalore,Mumbai Indians,160
1237181,1,Delhi Capitals,Mumbai Indians,156
1237181,2,Mumbai Indians,Delhi Capitals,157
1237180,1,Delhi Capitals,Sunrisers Hyderabad,189
1237180,2,Sunrisers Hyderabad,Delhi Capitals,172
1237178,1,Royal Challengers Bangalore,Sunrisers Hyderabad,131
1237178,2,Sunrisers Hyderabad,Royal Challengers Bangalore,132
1237177,1,Mumbai Indians,Delhi Capitals,200
1237177,2,Delhi Capitals,Mumbai Indians,143
1216547,1,Royal Challengers Bangalore,Mumbai Indians,201
1216547,2,Mumbai Indians,Royal Challengers Bangalore,201
1216547,3,Mumbai Indians,,7
1216547,4,Royal Challengers Bangalore,,11
1216546,1,Delhi Capitals,Kings XI Punjab,164
1216546,2,Kings XI Punjab,Delhi Capitals,167
1216545,1,Sunrisers Hyderabad,Kolkata Knight Riders,142
1216545,2,Kolkata Knight Riders,Sunrisers Hyderabad,145
1216544,1,Royal Challengers Bangalore,Chennai Super Kings,145
1216544,2,Chennai Super Kings,Royal Challengers Bangalore,150
1216543,1,Delhi Capitals,Rajasthan Royals,161
1216543,2,Rajasthan Royals,Delhi Capitals,148
1216542,1,Sunrisers Hyderabad,Kings XI Punjab,201
1216542,2,Kings XI Punjab,Sunrisers Hyderabad,132
1216541,1,Mumbai Indians,Rajasthan Royals,195
1216541,2,Rajasthan Royals,Mumbai Indians,196
1216540,1,Royal Challengers Bangalore,Kolkata Knight Riders,194
1216540,2,Kolkata Knight Riders,Royal Challengers Bangalore,112
1216539,1,Delhi Capitals,Chennai Super Kings,175
1216539,2,Chennai Super Kings,Delhi Capitals,131
1216538,1,Mumbai Indians,Sunrisers Hyderabad,208
1216538,2,Sunrisers Hyderabad,Mumbai Indians,174
1216537,1,Kings XI Punjab,Rajasthan Royals,185
1216537,2,Rajasthan Royals,Kings XI Punjab,186
1216536,1,Kolkata Knight Riders,Chennai Super Kings,172
1216536,2,Chennai Super Kings,Kolkata Knight Riders,178
1216535,1,Delhi Capitals,Mumbai Indians,110
1216535,2,Mumbai Indians,Delhi Capitals,111
1216534,1,Royal Challengers Bangalore,Sunrisers Hyderabad,163
1216534,2,Sunrisers Hyderabad,Royal Challengers Bangalore,153
1216533,1,Chennai Super Kings,Rajasthan Royals,125
1216533,2,Rajasthan Royals,Chennai Super Kings,126
1216532,1,Sunrisers Hyderabad,Delhi Capitals,162
1216532,2,Delhi Capitals,Sunrisers Hyderabad,147
1216531,1,Royal Challengers Bangalore,Kings XI Punjab,171
1216531,2,Kings XI Punjab,Royal Challengers Bangalore,177
1216530,1,Kolkata Knight Riders,Rajasthan Royals,191
1216530,2,Rajasthan Royals,Kolkata Knight Riders,131
1216529,1,Delhi Capitals,Mumbai Indians,162
1216529,2,Mumbai Indians,Delhi Capitals,166
1216528,1,Chennai Super Kings,Sunrisers Hyderabad,167
1216528,2,Sunrisers Hyderabad,Chennai Super Kings,147
1216527,1,Kings XI Punjab,Rajasthan Royals,223
1216527,2,Rajasthan Royals,Kings XI Punjab,226
1216526,1,Kolkata Knight Riders,Mumbai Indians,148
1216526,2,Mumbai Indians,Kolkata Knight Riders,149
1216525,1,Royal Challengers Bangalore,Chennai Super Kings,169
1216525,2,Chennai Super Kings,Royal Challengers Bangalore,132
1216524,1,Sunrisers Hyderabad,Delhi Capitals,219
1216524,2,Delhi Capitals,Sunrisers Hyderabad,131
1216523,1,Kolkata Knight Riders,Kings XI Punjab,164
1216523,2,Kings XI Punjab,Kolkata Knight Riders,162
1216522,1,Rajasthan Royals,Royal Challengers Bangalore,177
1216522,2,Royal Challengers Bangalore,Rajasthan Royals,179
1216521,1,Chennai Super Kings,Mumbai Indians,114
1216521,2,Mumbai Indians,Chennai Super Kings,116
1216520,1,Kolkata Knight Riders,Kings XI Punjab,149
1216520,2,Kings XI Punjab,Kolkata Knight Riders,150
1216519,1,Delhi Capitals,Royal Challengers Bangalore,196
1216519,2,Royal Challengers Bangalore,Delhi Capitals,137
1216518,1,Rajasthan Royals,Sunrisers Hyderabad,154
1216518,2,Sunrisers Hyderabad,Rajasthan Royals,156
1216517,1,Mumbai Indians,Kings XI Punjab,176
1216517,2,Kings XI Punjab,Mumbai Indians,176
1216517,3,Kings XI Punjab,,5
1216517,4,Mumbai Indians,,5
1216517,5,Mumbai Indians,,11
1216517,6,Kings XI Punjab,,15
1216516,1,Sunrisers Hyderabad,Chennai Super Kings,164
1216516,2,Chennai Super Kings,Sunrisers Hyderabad,157
1216515,1,Delhi Capitals,Kolkata Knight Riders,228
